選奨年度,選奨年NO,対象構造物,読み,受賞理由,都道府県,市町村,都道府県2,市町村2,竣工年,北緯,東経,行った回数,行った日,プレートの有無,施設1,所在地1,竣工年1,施設2,所在地2,竣工年2,施設3,所在地3,竣工年3,施設4,所在地4,竣工年4,施設5,所在地5,竣工年5,施設6,所在地6,竣工年6,施設7,所在地7,竣工年7,施設8,所在地8,竣工年8,施設9,所在地9,竣工年9,施設10,所在地10,竣工年10,施設11,所在地11,竣工年11,施設12,所在地12,竣工年12,施設13,所在地13,竣工年13,施設14,所在地14,竣工年14,施設15,所在地15,竣工年15
2020,15,中川運河,なかがわうんが,中川運河は、名古屋の工業地において港湾と鉄道を連絡する主要動線を確保するため都市計画事業で建設され、経済発展を支えた重要な土木遺産です。,愛知県,愛知県名古屋市港区名古屋港～中川区旧国鉄笹島貨物駅,,,1932（昭和7）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,16,五六閘門,ごろくこうもん,五六閘門は、牛牧輪中における下流からの逆水を防ぐ明治末に竣功した人造石構造の樋門で、後代のより広域な治水にも機能している貴重な遺産です。,岐阜県,岐阜県瑞穂市牛牧,,,1907(明治40)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,17,ビル・高架道路・地下鉄駅の一体整備（船場センタービル、大阪市道築港深江線、阪神高速道路、Osaka Metro中央線本町駅・堺筋本町駅）,びる・こうかどうろ・ちかてつえきのいったいせいび,小規模な専門卸売店が密集する船場地区で、店舗ビルと高架道路・地下鉄駅を一体整備するという卓抜したアイデアを実現した施設です。,大阪府,大阪府大阪市中央区,,,1970（昭和45)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,18,大阪狭山市域の南海電鉄煉瓦造暗渠群,おおさかさやましいきのなんかいでんてつれんがづくりあんきょぐん,南海電鉄高野線狭山～大阪狭山市駅間の開通時に整備された煉瓦造暗渠群。稀少なねじりまんぽ等が残り地域にも親しまれています。,大阪府,大阪府大阪狭山市,,,1898(明治31）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,19,阪急電鉄神戸市内線高架橋,はんきゅうでんてつこうべしないせんこうかきょう,阿部美樹志が設計したRC高架橋で、優美な曲線をもつ洗練された造形と阪神・淡路大震災にも耐えた堅牢さを備えます。,兵庫県,兵庫県神戸市灘区～中央区,,,1936（昭和11)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,20,姫路市営モノレール遺構群,ひめじしえいものれーるいこうぐん,博覧会会場の手柄山中央公園～姫路駅間1.6kmを結んだ全国初となる市営モノレールの遺構群。戦後姫路の躍進と大志の結集体。,兵庫県,兵庫県姫路市,,,1966（昭和41）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,21,豊岡市水道の創設期施設,とよおかしすいどうのそうせつきしせつ,旧城崎町と旧豊岡町の上水道創設期に建設された築百年を迎える施設であり、当時の温泉産業、生活衛生に貢献した土木遺産です。,兵庫県,兵庫県豊岡市,,,荒船浄水場：1920（大正9）年,,,,,,荒船浄水場：1920（大正9）年,,荒船浄水場：1920（大正9）年,旧豊岡町水道施設：1922（大正11）年,,旧豊岡町水道施設：1922（大正11）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,22,笹生川ダム,さそうがわだむ,三次元的応力解析法によるダム本体の構造設計により、安全性の確保とダム堤体積の最小化を実現させた我が国最初のダムです。,福井県,福井県大野市本戸,,,1957（昭和32）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,23,出合橋,であいばし,出合橋は、三段峡の玄関口に架橋された優美なデザインのＲＣタイドアーチ橋で、地域のランドマークとして住民にも親しまれている土木遺産です。,広島県,広島県安芸太田町,,,1935(昭和10）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,24,三架橋,さんかばし,三架橋は、琴弾八幡宮の門前町に架橋された3連のアーチが優美な弧を描くRCタイドアーチ橋であります。,香川県,香川県観音寺市,,,1935(昭和10)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,25,八代の石造干拓施設群,やつしろのせきぞうかんたくしせつぐん,八代の石造干拓施設群は、全国屈指の干拓事業である八代干拓において建設された樋門群や堤防によって構成される貴重な土木遺産です。,熊本県,熊本県八代市,,,1816（文化13）年～1938（昭和13）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,26,宮内原用水の二穴式隧道群,みやうちばるようすいのにけつしきずいどうぐん,宮内原用水の二穴式隧道群は、二つの隧道を並置する希少な構造を有する現役の施設で、江戸期の土木技術を現代に伝える土木遺産です。,鹿児島,鹿児島県霧島市隼人町,,,1716（正徳6）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,糠平ダム,ぬかびらだむ,糠平ダムは、当時最高水準の国産大型機械採用や前例のない蒸気養生により、寒地での短期施工を実現した北海道内の電力安定を支える重力式ダムです。,北海道,北海道河東郡上士幌町,,,1956（昭和31）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,2,弾丸道路（札幌・千歳間道路）,だんがんどうろ（さっぽろ・ちとせかんどうろ）,弾丸道路は、積雪寒冷地や自動車高速走行のための先駆的な設計基準を導入し、北海道に限らず全国の道路改良の指標となった土木遺産です。,北海道,北海道札幌市、北広島市、恵庭市、千歳市,,,1953（昭和28）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,3,北上川上流総合開発ダム群,きたかみがわじょうりゅうそうごうかいはつだむぐん,北上川上流総合開発ダム群　五大ダムは、北上川流域の治水を最大の目的にしながら、発電・灌漑用水・上水などの機能を併せた多目的ダム群として地域を支える土木構造物群です。,岩手県,田瀬ダム：岩手県花巻市,,,田瀬ダム：1954（昭和29）年,,,,,,田瀬ダム：岩手県花巻市,田瀬ダム：岩手県花巻市,田瀬ダム：1954（昭和29）年,湯田ダム：岩手県和賀郡西和賀町,湯田ダム：岩手県和賀郡西和賀町,湯田ダム：1964（昭和39）年,四十四田ダム：岩手県盛岡市,四十四田ダム：岩手県盛岡市,四十四田ダム：1968（昭和43）年,御所ダム：岩手県盛岡市,御所ダム：岩手県盛岡市,御所ダム：1981（昭和56）年,石淵ダム：岩手県奥州市,石淵ダム：岩手県奥州市,石淵ダム：1953（昭和28）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,4,只見線鉄道施設群,ただみせんてつどうしせつぐん,只見線鉄道施設群は、福島・新潟両県の地域資源の活用や豪雪地帯を結ぶライフラインとして、その機能美や四季折々の風景を創生する貴重な土木遺産群です。,福島県,福島県、新潟県,,,1925（大正14）年～1971（昭和46）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,5,渡良瀬川上流域足尾の砂防堰堤群,わたらせがわじょうりゅういきあしおのさぼうえんていぐん,渡良瀬川上流域足尾の砂防堰堤群は、大規模な土石流災害の軽減・抑止を目的とした本邦最大級施設を含む砂防堰堤群で、環境を視点に未来への思考を誘う重厚な土木遺産です。,栃木県,栃木県日光市,,,1940（昭和15）年～1970（昭和45）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,6,円上寺隧道,えんじょうじずいどう,円上寺隧道は、日本最古級のコンクリート造の河川トンネルで、建設から100年以上経過する今も地域の防災に寄与し続ける貴重な土木遺産です。,新潟県,新潟県長岡市,,,1915(大正4)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,7,塔之沢発電所と関連施設,とうのさわはつでんしょとかんれんしせつ,塔之沢発電所と関連施設は、当時最新の発電設備や国産技術を多用するなど明治期における水力発電の基礎を作り、箱根の観光を支えてきた貴重な土木遺産です。,神奈川県,神奈川県足柄下郡箱根町,,,1909（明治42）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,8,六郷水門,ろくごうすいもん,六郷水門は、今もなお水門としての機能を保ち、多摩川改修工事や六郷用水の記憶を物語る地域のシンボルとなっており、貴重な土木遺産です。,東京都,東京都大田区,,,1931（昭和6）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,9,栗尾沢砂防施設群,くりおさわさぼうしせつぐん,栗尾沢砂防施設群は、大正５年に作られた当時の東日本では事例が少ない切石積の砂防堰堤など、 砂防事業の歴史や技術を今に伝える貴重な土木遺産です。,埼玉県,埼玉県秩父郡小鹿野町,,,2基：1916（大正5）年,,,,,,2基：1916（大正5）年,,2基：1916（大正5）年,6基：1933（昭和8）年,,6基：1933（昭和8）年,1基：1934（昭和9）年,,1基：1934（昭和9）年,1基：1935（昭和10）年,,1基：1935（昭和10）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,10,東山円筒分水槽,ひがしやまえんとうぶんすいそう,東山円筒分水槽は、永年水不足に悩まされてきた片貝川流域へ合理的かつ公平に分水するため川を潜るサイフォン終端に設けられた美しい円形の分水施設です。,富山県,富山県魚津市,,,1954(昭和29)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,11,彩雲橋,さいうんばし,彩雲橋は、昭和初期の犬山城附近の観光開発の中で木曽川へ流れ込む郷瀬川上に架けられた鉄道レールを用いた瀟洒な2連アーチ橋です。,愛知県,愛知県犬山市,,,1929(昭和4）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,12,殿橋,とのばし,殿橋は、乙川に架かる12径間連続RC桁橋で、昭和2年竣工以来補修を加えながらもスレンダーな形姿を保つ岡崎市街のシンボル的遺産です。,愛知県,愛知県岡崎市,,,1927（昭和2）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,13,山川橋,やまかわばし,山川橋は、川辺ダム建設に際して昭和12年にダム湖に架けられたゲルバー式RCラーメン橋で、永年地域で愛されてきた土木遺産です。,岐阜県,岐阜県加茂郡川辺町,,,1937（昭和12）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,14,生駒鋼索線と生駒山上遊園地飛行塔,いこまこうさくせんといこまさんじょうゆうえんちひこうとう,生駒鋼索線と生駒山上遊園地飛行塔は、わが国私鉄に見られる観光施策を証示する最古の施設であり、先例のない中で独自に開発したものとして貴重な現役の土木遺産です。,奈良県,奈良県生駒市,,,【近畿日本鉄道生駒鋼索線】,,,,,,宝山寺1号線,,1918（大正7）年 ,宝山寺2号線,,1926（昭和元）年,山上線,,1929（昭和4）年 ,生駒山上遊園地飛行塔,,1929（昭和4）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,15,津守下水処理場１系水処理施設,つもりげすいしょりじょういちけいみずしょりしせつ,津守下水処理場１系水処理施設は、稼働当初の躯体構造を維持しつつ、80年以上に渡り家庭や工場などから排出される汚水を処理し続けている貴重な現役の土木遺産です。,大阪府,大阪府大阪市西成区,,,1940（昭和15）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,16,谷瀬の吊り橋,たにせのつりばし,谷瀬の吊り橋は、安全安心を希求する地区住民の思いにより建設され、その後60年以上にわたり供用され続け、現在は観光資源となっている土木遺産です。,奈良県,奈良県吉野郡十津川村,,,1954（昭和29）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,17,琵琶湖疏水（第１、第２、分線ほか）,びわこそすい（だいいち、だいに、ぶんせんほか）,琵琶湖疏水（第１、第２、分線ほか）は、明治期に建設され、多目的利用によって京都の近代化に大きく貢献し、技術や意匠の質も高く、不動の歴史的価値を有する土木遺産です。,滋賀県,滋賀県大津市、京都府京都市山科区、左京区,,,琵琶湖疏水（第１）：1890（明治23）年　,,,,,,琵琶湖疏水（第１）：1890（明治23）年　,,琵琶湖疏水（第１）：1890（明治23）年　,琵琶湖疏水（第２）：1912（明治45）年,,琵琶湖疏水（第２）：1912（明治45）年,琵琶湖疏水（分線）：1890（明治23）年,,琵琶湖疏水（分線）：1890（明治23）年,扇ダム放水路、草川、百々川、ほか小水路群：1890（明治23）年頃,,扇ダム放水路、草川、百々川、ほか小水路群：1890（明治23）年頃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,18,関西本線木津川橋りょう,かんさいほんせんきづがわきょうりょう,関西本線木津川橋りょうは、明治時代に架けられた橋梁を、適切な補強や更新により長寿命化を実現した点で、優れた事例として顕彰すべき施設です。,京都府,京都府相楽郡笠置町,,,1連目、3連目：1897(明治30)年、1926(大正15)年ランガー補強,,,,,,1連目、3連目：1897(明治30)年、1926(大正15)年ランガー補強,,1連目、3連目：1897(明治30)年、1926(大正15)年ランガー補強,2連目：1926(大正15)年,,2連目：1926(大正15)年,4連目、5連目：1953（昭和28)年,,4連目、5連目：1953（昭和28)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,19,旧成相池堰堤,きゅうなりあいいけえんてい,旧成相池堰堤は、渇水時の農業用水確保のため建造された粗石モルタル造の重力式ダムで、先人の水確保の努力を後世に伝える貴重な土木遺産です。,兵庫県,兵庫県南あわじ市,,,1950（昭和25）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,20,和田旋回橋,わだせんかいきょう,和田旋回橋は、日本初かつ最古の鉄道用可動橋であり、当初の架設地点に供用され続け現在も地元住民により積極的に活用されている貴重な土木遺産です。,兵庫県,兵庫県神戸市兵庫区,,,1899(明治32)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,21,村田 鶴が湖北地方に残した隧道群,むらたかくがこほくちほうにのこしたずいどうぐん,村田 鶴が湖北地方に残した隧道群は、材料特性から煉瓦とコンクリートを使い分ける秀逸な設計が施され、格式高い意匠とともに永年にわたり地域交通に貢献した土木遺産です。,滋賀県米原市～長浜市,横山隧道：滋賀県米原市～長浜市,,,横山隧道：1923（大正12）年,,,,,,横山隧道,滋賀県米原市～長浜市,1923（大正12）年,谷坂隧道,滋賀県長浜市,1935（昭和10）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,22,爆撃被害建材の再活用橋梁―本川橋、九十九橋,ばくげきひがいけんざいのさいかつようきょうりょう―ほんかわばし、つくもばし,本川橋、九十九橋は、敗戦直後の資材難の中、爆撃を受けた光海軍工廠の建材を再活用した橋梁で、部材に弾痕や以前のリベット孔が残っている貴重な土木遺産です。,本川橋,本川橋：広島県広島市中区,,,本川橋：1949（昭和24）年,,,,,,本川橋：1949（昭和24）年,広島市中区,本川橋：1949（昭和24）年,九十九橋：1950（昭和25）年,安芸郡海田町,九十九橋：1950（昭和25）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,23,千賀居隧道,ちがいずいどう,千賀居隧道は、ループ道路に建設された隧道で、当該形式の隧道として国内最古クラスの貴重な土木遺産です。,愛媛県,愛媛県八幡浜市,,,1905(明治38)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,24,緒方川の多連アーチ石橋群,おがたがわのたれんあーちいしばしぐん,緒方川の多連アーチ石橋群は、2～6連のアーチを有する石橋がひとつの地域にまとまって現存する貴重な土木遺産です。,大分県,大分県豊後大野市,,,緒方橋：1911（明治44）年,,,,,,緒方橋,,1911（明治44）年,鳴滝橋,,1922（大正11）年,長瀬橋,,1923（大正12）年,原尻橋,,1923（大正12）年,柚木寺原橋,,1928（昭和3）年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,25,花峯橋,はなみねばし,花峯橋は、現存する希少な木造方杖式の道路橋のひとつで、当時の我が国における木造橋建設技術を今に伝える貴重な土木遺産です。,宮崎県,宮崎県日南市,,,1929(昭和4)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,室蘭港港湾施設群,むろらんこうこうわんしせつぐん,室蘭港港湾施設群は、東洋一の石炭積出港として我が国の近代化と鉄の街の飛躍的発展に貢献した港湾の歴史と技術を伝える構造物群です。,北海道,北海道室蘭市,,,南防波堤：1938(昭和13)年度,,,,,,南防波堤,,1938(昭和13)年度,北防波堤,,1927(昭和2)年度,旧大黒島灯台,,1926(大正15)年度,旧国鉄埠頭,,1959(昭和34)年度,旧国鉄埠頭(北外防波堤へのケーソン流用),,1967(昭和42)年度,旧北荷埠頭,,1940(昭和15)年度,本輪西埠頭,,1959(昭和34)年度,北日本埠頭,,1959(昭和34)年度,,,,,,,,,,,,,,,,,,,,,
2022,2,標津橋,しべつはし,標津橋は、アーチリブにフィーレンディール構造を持つ国内唯一の橋梁形式で、戦後の北海道の土木技術の発展に寄与した土木遺産です。,北海道,北海道標津郡標津町,,,1962(昭和37)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,3,旧茂喜登牛水路橋,きゅうもきとうしすいろきょう,旧茂喜登牛水路橋は、PC技術黎明期に建設した当時国内最大クラスのPC桁であるとともに、約60年間以上北海道の電力安定供給に貢献した水路橋です。,北海道,北海道足寄郡足寄町,,,1958(昭和33)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,4,福島の石橋群,ふくしまのいしばしぐん,福島の石橋群は、近世から明治期に伝承された信州や九州の石工技術を地元の石工が磨き育てた歴史を顕彰できる貴重な土木遺産群です。,福島県,福島県福島市、他,,,1772(安永元)年～1914(大正3)年と推定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,5,丸森橋,まるもりばし,丸森橋は、戦前に作られたプラットトラス道路橋として宮城県内で唯一現存している石張りの橋脚も特徴的な貴重な土木遺産です。,宮城県,宮城県伊具郡丸森町,,,1929(昭和4)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,6,渡良瀬遊水地,わたらせゆうすいち,渡良瀬遊水地は、河川の増水時に横溢する洪水を一時的に貯留するわが国最大級の治水施設で、建設と環境の両立を具現化した歴史的な土木文化遺産です。,栃木県,栃木県栃木市、小山市、下都賀郡野木町、群馬県邑楽郡板倉町、茨城県古河市、埼玉県加須市,,,1972(昭和47)年[第2調整池概成まで],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,7,豊海橋,とよみはし,豊海橋は、関東大震災の復興事業で架橋された国内初の鋼フィーレンデール橋で、技術的に優れ景観に配慮した貴重な土木遺産です。,東京都,東京都中央区,,,1927(昭和2)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,8,清水谷戸トンネル,しみずやととんねる,清水谷戸トンネルは、全国鉄道網へと広がる端緒となった現役最古の鉄道トンネルであり、建設時の煉瓦構造など明治期の鉄道技術を今に残す土木遺産です。,神奈川,神奈川県横浜市保土ヶ谷区、戸塚区,,,上り線：1887(明治20)年、下り線：1898(明治31)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,9,豊川放水路,とよがわほうすいろ,豊川放水路は、豊川の洪水被害を軽減するために戦後に建設された、我が国を代表する放水路の一つです。,愛知県,愛知県豊川市,,,1965(昭和40)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,10,中川橋,なかがわはし,中川橋は、中川運河とともに竣工したブレーストリブタイドアーチ橋で、平成末に「横取り工法」で改修して次世代へつながれた貴重な土木遺産です。,愛知県,愛知県名古屋市港区,,,1930(昭和5)年 [2022(令和4)年改修],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,11,波切の石積構造物群,なきりのいしづみこうぞうぶつぐん,波切の石積み構造物群は、当地の石工たちが整備した漁港や集落の石積みであり、大王崎を含む波切のまちの発展を支えた貴重な土木遺産です。,三重県,三重県志摩市,,,1860(安政7)年頃～1930(昭和5)年頃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,12,揖保川畳堤,いぼがわたたみてい,揖保川畳堤は、眺望への配慮など住民の意見が反映された特殊堤で、住民の防災意識の高さが結実した貴重な現役の土木遺産です。,兵庫県,兵庫県たつの市,,,1957(昭和32)年頃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,13,大阪市水道創設期及び拡張初期の施設群,おおさかしすいどうそうせつきおよびかくちょうしょきのしせつぐん,大阪市の大手前配水場、柴島浄水場取水塔及び旧第１配水ポンプ場は、わが国の近代水道創設・拡張を象徴する貴重な土木遺産です。,大阪府,大阪府大阪市中央区、東淀川区,,,大手前配水場：1893(明治26)年,,,,,,大手前配水場,,1893(明治26)年,柴島浄水場1・2号取水塔,,1914(大正3)年,柴島浄水場3号取水塔,,1930(昭和5)年,柴島浄水場旧第1配水ポンプ場(現水道記念館),,1914(大正3)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,14,春日野道 桜橋,かすがのみち さくらばし,春日野道 桜橋は、福井県の成立期に嶺南と嶺北を結ぶために建設された春日野道の構造物のうち、特に良好に保存された土木遺産です。,福井県,福井県南条郡南越前町,,,1886(明治19)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,15,高野山森林軌道の遺構群,こうやさんしんりんきどうのいこうぐん,高野山森林軌道の遺構群は、わが国で最初の森林軌道をルーツとし、その後の産業発展に貢献した森林軌道の盛衰を記録する歴史の証人として重要な土木遺産です。,和歌山,和歌山県伊都郡九度山町、高野町,,,1909(明治42)年 ※九度山貯木場～塵無土場,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,16,南海本線紀ノ川橋梁,なんかいほんせんきのかわきょうりょう,南海本線紀ノ川橋梁は、明治期と大正期のトラス橋が上下線に並ぶ現役の鉄道施設であり、橋梁技術の進展や維持管理の重要性を伝える貴重な土木遺産です。,和歌山県,和歌山県和歌山市,,,上り線：1903(明治36)年、下り線：1922(大正11)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,17,箱ヶ瀬橋,はこがせばし,箱ヶ瀬橋は、下津井瀬戸大橋をはじめ日本の長大吊り橋建設に寄与し、「夢の架け橋」と呼ばれ親しまれている現役の土木遺産です。,福井県,福井県大野市,,,1967(昭和42)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,18,不動川砂防歴史公園の砂防設備群,ふどうがわさぼうれきしこうえんのさぼうせつびぐん,不動川砂防歴史公園の砂防設備群は、明治初期のデ・レーケの手による現役の堰堤と関連施設であり、市民に愛される土木遺産です。,京都府,京都府木津川市,,,1875(明治8)年～1922(大正11)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,19,摩耶大橋,まやおおはし,摩耶大橋は、当時前例のない１本主塔の斜張橋であり、摩耶埠頭と新港突堤を結んで、神戸港の発展に寄与した貴重な現役の土木遺産です。,兵庫県,兵庫県神戸市中央区～灘区,,,1966(昭和41)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,20,神戸大橋,こうべおおはし,神戸大橋は、我が国最初のダブルデッキ構造を有する橋梁であり、新港第４突堤とポートアイランドを結び神戸港の発展に寄与した現役の土木遺産です。,兵庫県,兵庫県神戸市中央区,,,1970(昭和45)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,21,翁橋,おきなばし,翁橋は、大正から昭和初期に橋面が煉瓦舗装された数少ない橋梁のうち、当時の舗道煉瓦が全面に残っている極めて貴重な橋梁です。,岡山県,岡山県津山市,,,1926(大正15)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,22,山国橋,やまくにばし,山国橋は、昭和初期に建設されたRC造の長大橋であり、ゲルバー桁や二穴式の煉瓦積み橋脚を有する貴重な地域の土木遺産です。,福岡県,福岡県築上郡吉富町～大分県中津市,,,1934(昭和9)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,23,赤尾木港の岸岐と築島,あかおぎこうのがんぎとつきじま,赤尾木港の岸岐と築島は、巻石構造を有する堤防及び護岸で、江戸期鹿児島の離島における築港技術を伝える貴重な土木遺産です。,鹿児島県,鹿児島県西之表市,,,岸岐：1781(天明元)年 [昭和初期に改修],,,,,,岸岐：1781(天明元)年 [昭和初期に改修],,岸岐：1781(天明元)年 [昭和初期に改修],築島：1862(文久2)年,,築島：1862(文久2)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,十勝川統内新水路,とかちがわ とうないしんすいろ,十勝川統内新水路は、十勝川流域の洪水被害軽減や統内原野の開発促進に貢献し、泥炭湿地帯の河道掘削及び築堤の施工技術や過程を示す貴重な新水路です。,北海道,北海道中川郡池田町～豊頃町、幕別町～豊頃町,,,1937(昭和12)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,2,茂岩橋,もいわばし,茂岩橋は、変断面下路式ゲルバートラスの橋梁において国内最長スパンを誇り、左右対称で中央に尖峰が並び立つ、均整の取れた意匠の土木遺産です。,北海道,北海道中川郡豊頃町,,,1961(昭和36)年(1970(昭和45)年歩道橋添架),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,3,大倉ダム,おおくらだむ,大倉ダムは、地形特性を考慮した我が国唯一のダブルアーチダムであり、多目的ダムとして仙塩地域の人々の生活や産業を支えてきた歴史的構造物です。,宮城県,宮城県仙台市青葉区大倉字岩下２１－２,,,1961(昭和36)年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,4,只見川ダム施設群,ただみがわだむしせつぐん,只見川ダム施設群は、豪雪地帯の水資源と地形を巧みに利用したダム・電源開発等の河川史や地域資産として貴重な土木遺産群です。,福島県,奥只見ダム：福島県南会津郡檜枝岐村,,,奥只見ダム：1961(昭和36)年,,,,,,奥只見ダム,檜枝岐村,1961(昭和36)年,大鳥ダム・田子倉ダム,只見町,1963(昭和38)年,滝ダム,金山町,1959(昭和34)年,本名ダム・上田ダム,金山町,1954(昭和29)年,宮下ダム,三島町,1946(昭和21)年,柳津ダム,柳津町,1953(昭和28)年,片門ダム,会津坂下町,1953(昭和28)年,,,,,,,,,,,,,,,,,,,,,,,,
